Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,Store,DayOfWeek,Month,DayOfMonth,IsWeekend,pr,TouristEvent_Bin,Sales_Lag7,Customers_Lag7
2012-07-18,12,139,6.46,No,35233,Baltimore,2,7,18,0,0.0646,0,35429.0,134.0
2012-07-19,16,154,9.12,No,43886,Baltimore,3,7,19,0,0.09119999999999999,0,36206.0,145.0
2012-07-20,22,154,8.61,No,42240,Baltimore,4,7,20,0,0.0861,0,37865.0,151.0
2012-07-21,29,216,6.93,No,39429,Baltimore,5,7,21,1,0.0693,0,39216.0,195.0
2012-07-22,18,156,6.22,No,43074,Baltimore,6,7,22,1,0.0622,0,37190.0,148.0
2012-07-23,19,129,8.17,No,43286,Baltimore,0,7,23,0,0.0817,0,42122.0,127.0
2012-07-24,20,129,6.92,No,34304,Baltimore,1,7,24,0,0.0692,0,33963.0,133.0
2012-07-25,21,144,6.32,No,44173,Baltimore,2,7,25,0,0.0632,0,35233.0,139.0
2012-07-26,17,147,11.09,No,34838,Baltimore,3,7,26,0,0.1109,0,43886.0,154.0
2012-07-27,31,167,8.02,No,39265,Baltimore,4,7,27,0,0.0802,0,42240.0,154.0
2012-07-28,26,211,10.03,No,50872,Baltimore,5,7,28,1,0.1003,0,39429.0,216.0
2012-07-29,15,149,9.97,No,47784,Baltimore,6,7,29,1,0.09970000000000001,0,43074.0,156.0
2012-07-30,12,126,6.04,No,42671,Baltimore,0,7,30,0,0.0604,0,43286.0,129.0
2012-07-31,12,120,8.03,No,30718,Baltimore,1,7,31,0,0.0803,0,34304.0,129.0
2012-08-01,16,153,8.06,No,36406,Baltimore,2,8,1,0,0.0806,0,44173.0,144.0
2012-08-02,17,155,9.89,No,36633,Baltimore,3,8,2,0,0.0989,0,34838.0,147.0
2012-08-03,21,161,11.75,No,39509,Baltimore,4,8,3,0,0.1175,0,39265.0,167.0
2012-08-04,15,217,8.42,No,43499,Baltimore,5,8,4,1,0.0842,0,50872.0,211.0
2012-08-05,29,170,9.86,No,42099,Baltimore,6,8,5,1,0.0986,0,47784.0,149.0
2012-08-06,13,120,10.99,No,42310,Baltimore,0,8,6,0,0.1099,0,42671.0,126.0
2012-08-07,9,120,8.85,No,39751,Baltimore,1,8,7,0,0.0885,0,30718.0,120.0
2012-08-08,14,143,10.25,No,34594,Baltimore,2,8,8,0,0.1025,0,36406.0,153.0
2012-08-09,20,132,8.84,No,38389,Baltimore,3,8,9,0,0.08839999999999999,0,36633.0,155.0
2012-08-10,26,175,13.99,No,45335,Baltimore,4,8,10,0,0.1399,0,39509.0,161.0
2012-08-11,17,201,11.72,No,49045,Baltimore,5,8,11,1,0.11720000000000001,0,43499.0,217.0
2012-08-12,21,172,8.52,No,41026,Baltimore,6,8,12,1,0.0852,0,42099.0,170.0
2012-08-13,11,125,10.4,No,44224,Baltimore,0,8,13,0,0.10400000000000001,0,42310.0,120.0
2012-08-14,15,119,8.58,No,34561,Baltimore,1,8,14,0,0.0858,0,39751.0,120.0
2012-08-15,18,125,9.12,No,35221,Baltimore,2,8,15,0,0.09119999999999999,0,34594.0,143.0
2012-08-16,32,174,8.38,No,54077,Baltimore,3,8,16,0,0.08380000000000001,0,38389.0,132.0
2012-08-17,20,165,9.39,No,37241,Baltimore,4,8,17,0,0.09390000000000001,0,45335.0,175.0
2012-08-18,23,198,7.01,No,40656,Baltimore,5,8,18,1,0.0701,0,49045.0,201.0
2012-08-19,25,151,9.62,No,44702,Baltimore,6,8,19,1,0.0962,0,41026.0,172.0
2012-08-20,21,99,8.9,No,44339,Baltimore,0,8,20,0,0.08900000000000001,0,44224.0,125.0
2012-08-21,9,116,10.95,No,37333,Baltimore,1,8,21,0,0.10949999999999999,0,34561.0,119.0
2012-08-22,14,116,11.22,No,36936,Baltimore,2,8,22,0,0.11220000000000001,0,35221.0,125.0
2012-08-23,29,131,7.89,No,32440,Baltimore,3,8,23,0,0.0789,0,54077.0,174.0
2012-08-24,26,177,12.61,No,43856,Baltimore,4,8,24,0,0.1261,0,37241.0,165.0
2012-08-25,31,237,9.5,No,41578,Baltimore,5,8,25,1,0.095,0,40656.0,198.0
2012-08-26,21,168,14.5,No,37605,Baltimore,6,8,26,1,0.145,0,44702.0,151.0
2012-08-27,9,113,9.12,No,39517,Baltimore,0,8,27,0,0.09119999999999999,0,44339.0,99.0
2012-08-28,10,113,10.45,No,34096,Baltimore,1,8,28,0,0.1045,0,37333.0,116.0
2012-08-29,15,96,10.64,No,43255,Baltimore,2,8,29,0,0.10640000000000001,0,36936.0,116.0
2012-08-30,22,98,9.9,No,39801,Baltimore,3,8,30,0,0.099,0,32440.0,131.0
2012-08-31,31,150,8.99,No,48063,Baltimore,4,8,31,0,0.08990000000000001,0,43856.0,177.0
2012-09-01,27,236,12.55,No,42480,Baltimore,5,9,1,1,0.1255,0,41578.0,237.0
2012-09-02,27,205,10.62,No,41413,Baltimore,6,9,2,1,0.10619999999999999,0,37605.0,168.0
2012-09-03,12,207,9.58,No,53051,Baltimore,0,9,3,0,0.0958,0,39517.0,113.0
2012-09-04,18,81,7.91,No,34523,Baltimore,1,9,4,0,0.0791,0,34096.0,113.0
2012-09-05,18,75,7.92,No,36234,Baltimore,2,9,5,0,0.07919999999999999,0,43255.0,96.0
2012-09-06,24,100,6.73,No,44362,Baltimore,3,9,6,0,0.0673,0,39801.0,98.0
2012-09-07,24,115,7.28,No,37721,Baltimore,4,9,7,0,0.0728,0,48063.0,150.0
2012-09-08,17,155,6.63,No,44614,Baltimore,5,9,8,1,0.0663,0,42480.0,236.0
2012-09-09,22,123,6.37,No,43165,Baltimore,6,9,9,1,0.0637,0,41413.0,205.0
2012-09-10,33,281,8.01,Yes,47905,Baltimore,0,9,10,0,0.0801,1,53051.0,207.0
2012-09-11,36,321,5.74,Yes,67441,Baltimore,1,9,11,0,0.0574,1,34523.0,81.0
2012-09-12,28,312,8.36,Yes,52790,Baltimore,2,9,12,0,0.0836,1,36234.0,75.0
2012-09-13,23,106,8.91,No,43510,Baltimore,3,9,13,0,0.0891,0,44362.0,100.0
2012-09-14,24,117,8.16,No,35836,Baltimore,4,9,14,0,0.0816,0,37721.0,115.0
2012-09-15,30,169,9.23,No,48921,Baltimore,5,9,15,1,0.09230000000000001,0,44614.0,155.0
2012-09-16,20,123,6.91,No,38582,Baltimore,6,9,16,1,0.0691,0,43165.0,123.0
2012-09-17,11,83,5.67,No,39150,Baltimore,0,9,17,0,0.0567,0,47905.0,281.0
2012-09-18,11,74,8.13,No,37869,Baltimore,1,9,18,0,0.08130000000000001,0,67441.0,321.0
2012-09-19,17,74,5.91,No,36245,Baltimore,2,9,19,0,0.0591,0,52790.0,312.0
2012-09-20,34,103,9.22,No,34681,Baltimore,3,9,20,0,0.0922,0,43510.0,106.0
2012-09-21,26,125,9.3,No,39210,Baltimore,4,9,21,0,0.09300000000000001,0,35836.0,117.0
2012-09-22,28,200,6.58,No,41146,Baltimore,5,9,22,1,0.0658,0,48921.0,169.0
2012-09-23,30,145,10.18,No,35787,Baltimore,6,9,23,1,0.1018,0,38582.0,123.0
2012-09-24,13,80,9.5,No,36780,Baltimore,0,9,24,0,0.095,0,39150.0,83.0
2012-09-25,14,71,8.01,No,38106,Baltimore,1,9,25,0,0.0801,0,37869.0,74.0
2012-09-26,20,80,11.51,No,35168,Baltimore,2,9,26,0,0.1151,0,36245.0,74.0
2012-09-27,23,88,6.6,No,33661,Baltimore,3,9,27,0,0.066,0,34681.0,103.0
2012-09-28,27,122,9.65,No,35259,Baltimore,4,9,28,0,0.0965,0,39210.0,125.0
2012-09-29,27,196,8.91,No,50016,Baltimore,5,9,29,1,0.0891,0,41146.0,200.0
2012-09-30,22,122,10.59,No,38171,Baltimore,6,9,30,1,0.1059,0,35787.0,145.0
2012-10-01,9,68,9.54,No,33965,Baltimore,0,10,1,0,0.09539999999999998,0,36780.0,80.0
2012-10-02,14,82,6.89,No,44245,Baltimore,1,10,2,0,0.0689,0,38106.0,71.0
2012-10-03,16,77,6.98,No,36227,Baltimore,2,10,3,0,0.0698,0,35168.0,80.0
2012-10-04,21,102,11.44,No,40053,Baltimore,3,10,4,0,0.1144,0,33661.0,88.0
2012-10-05,27,124,9.54,No,32449,Baltimore,4,10,5,0,0.09539999999999998,0,35259.0,122.0
2012-10-06,62,820,8.65,Yes,114885,Baltimore,5,10,6,1,0.08650000000000001,1,50016.0,196.0
2012-10-07,54,532,9.65,Yes,78397,Baltimore,6,10,7,1,0.0965,1,38171.0,122.0
2012-10-08,33,331,11.19,Yes,54465,Baltimore,0,10,8,0,0.1119,1,33965.0,68.0
2012-10-09,18,68,8.31,No,35868,Baltimore,1,10,9,0,0.08310000000000001,0,44245.0,82.0
2012-10-10,17,70,10.69,No,33957,Baltimore,2,10,10,0,0.1069,0,36227.0,77.0
2012-10-11,20,99,7.82,No,37253,Baltimore,3,10,11,0,0.0782,0,40053.0,102.0
2012-10-12,25,155,10.59,No,41685,Baltimore,4,10,12,0,0.1059,0,32449.0,124.0
2012-10-13,27,211,10.7,No,55157,Baltimore,5,10,13,1,0.107,0,114885.0,820.0
2012-10-14,23,149,7.11,No,45905,Baltimore,6,10,14,1,0.0711,0,78397.0,532.0
2012-10-15,16,76,11.18,No,34668,Baltimore,0,10,15,0,0.1118,0,54465.0,331.0
2012-10-16,20,90,7.32,No,37773,Baltimore,1,10,16,0,0.0732,0,35868.0,68.0
2012-10-17,13,81,6.29,No,32077,Baltimore,2,10,17,0,0.0629,0,33957.0,70.0
2012-10-18,36,96,12.7,No,39300,Baltimore,3,10,18,0,0.127,0,37253.0,99.0
2012-10-19,38,134,14.56,No,46434,Baltimore,4,10,19,0,0.1456,0,41685.0,155.0
2012-10-20,39,253,15.15,No,52463,Baltimore,5,10,20,1,0.1515,0,55157.0,211.0
2012-10-21,23,154,12.78,No,50927,Baltimore,6,10,21,1,0.1278,0,45905.0,149.0
2012-10-22,14,76,7.05,No,37452,Baltimore,0,10,22,0,0.0705,0,34668.0,76.0
2012-10-23,19,93,9.16,No,40508,Baltimore,1,10,23,0,0.0916,0,37773.0,90.0
2012-10-24,21,104,7.64,No,40354,Baltimore,2,10,24,0,0.0764,0,32077.0,81.0
2012-10-25,25,98,6.48,No,53853,Baltimore,3,10,25,0,0.06480000000000001,0,39300.0,96.0
2012-10-26,38,126,8.03,No,55673,Baltimore,4,10,26,0,0.0803,0,46434.0,134.0
2012-10-27,29,154,10.82,No,45241,Baltimore,5,10,27,1,0.1082,0,52463.0,253.0
2012-10-28,32,112,8.86,No,49978,Baltimore,6,10,28,1,0.0886,0,50927.0,154.0
2012-10-29,14,70,10.15,No,47304,Baltimore,0,10,29,0,0.1015,0,37452.0,76.0
2012-10-30,15,81,5.84,No,38894,Baltimore,1,10,30,0,0.0584,0,40508.0,93.0
2012-10-31,17,101,6.45,No,50197,Baltimore,2,10,31,0,0.0645,0,40354.0,104.0
2012-11-01,17,97,10.68,No,48835,Baltimore,3,11,1,0,0.10679999999999999,0,53853.0,98.0
2012-11-02,32,150,5.66,No,38227,Baltimore,4,11,2,0,0.056600000000000004,0,55673.0,126.0
2012-11-03,26,212,6.61,No,65925,Baltimore,5,11,3,1,0.0661,0,45241.0,154.0
2012-11-04,28,158,10.07,No,52522,Baltimore,6,11,4,1,0.1007,0,49978.0,112.0
2012-11-05,10,75,8.91,No,47155,Baltimore,0,11,5,0,0.0891,0,47304.0,70.0
2012-11-06,20,75,9.92,No,46734,Baltimore,1,11,6,0,0.0992,0,38894.0,81.0
2012-11-07,23,86,10.95,No,45575,Baltimore,2,11,7,0,0.10949999999999999,0,50197.0,101.0
2012-11-08,29,100,6.77,No,40855,Baltimore,3,11,8,0,0.0677,0,48835.0,97.0
2012-11-09,34,144,8.58,No,59062,Baltimore,4,11,9,0,0.0858,0,38227.0,150.0
2012-11-10,79,857,10.55,Yes,116394,Baltimore,5,11,10,1,0.10550000000000001,1,65925.0,212.0
2012-11-11,80,654,8.17,Yes,82584,Baltimore,6,11,11,1,0.0817,1,52522.0,158.0
2012-11-12,53,576,9.44,Yes,103290,Baltimore,0,11,12,0,0.0944,1,47155.0,75.0
2012-11-13,13,86,6.69,No,42996,Baltimore,1,11,13,0,0.0669,0,46734.0,75.0
2012-11-14,20,92,8.24,No,41537,Baltimore,2,11,14,0,0.0824,0,45575.0,86.0
2012-11-15,22,111,11.08,No,47359,Baltimore,3,11,15,0,0.1108,0,40855.0,100.0
2012-11-16,50,163,15.05,No,43261,Baltimore,4,11,16,0,0.1505,0,59062.0,144.0
2012-11-17,49,290,19.94,No,80397,Baltimore,5,11,17,1,0.19940000000000002,0,116394.0,857.0
2012-11-18,49,213,14.94,No,58634,Baltimore,6,11,18,1,0.1494,0,82584.0,654.0
2012-11-19,19,144,8.84,No,59036,Baltimore,0,11,19,0,0.08839999999999999,0,103290.0,576.0
2012-11-20,24,149,14.76,No,43151,Baltimore,1,11,20,0,0.1476,0,42996.0,86.0
2012-11-21,30,163,14.15,No,57208,Baltimore,2,11,21,0,0.14150000000000001,0,41537.0,92.0
2012-11-22,13,237,15.17,No,46675,Baltimore,3,11,22,0,0.1517,0,47359.0,111.0
2012-11-23,83,1088,15.88,No,171345,Baltimore,4,11,23,0,0.1588,0,43261.0,163.0
2012-11-24,48,297,16.39,No,71030,Baltimore,5,11,24,1,0.16390000000000002,0,80397.0,290.0
2012-11-25,35,223,17.48,No,52077,Baltimore,6,11,25,1,0.1748,0,58634.0,213.0
2012-11-26,15,88,14.55,No,48822,Baltimore,0,11,26,0,0.14550000000000002,0,59036.0,144.0
2012-11-27,19,83,10.65,No,53724,Baltimore,1,11,27,0,0.1065,0,43151.0,149.0
2012-11-28,15,96,11.24,No,61901,Baltimore,2,11,28,0,0.1124,0,57208.0,163.0
2012-11-29,32,96,10.39,No,60584,Baltimore,3,11,29,0,0.1039,0,46675.0,237.0
2012-11-30,39,124,15.86,No,66716,Baltimore,4,11,30,0,0.1586,0,171345.0,1088.0
2012-12-01,30,269,11.0,No,76409,Baltimore,5,12,1,1,0.11,0,71030.0,297.0
2012-12-02,30,189,11.39,No,80560,Baltimore,6,12,2,1,0.1139,0,52077.0,223.0
2012-12-03,18,93,14.78,No,64383,Baltimore,0,12,3,0,0.1478,0,48822.0,88.0
2012-12-04,9,99,17.07,No,54377,Baltimore,1,12,4,0,0.1707,0,53724.0,83.0
2012-12-05,13,120,15.82,No,69302,Baltimore,2,12,5,0,0.1582,0,61901.0,96.0
2012-12-06,19,126,14.3,No,62347,Baltimore,3,12,6,0,0.14300000000000002,0,60584.0,96.0
2012-12-07,30,161,13.25,No,81766,Baltimore,4,12,7,0,0.1325,0,66716.0,124.0
2012-12-08,25,243,10.55,No,73663,Baltimore,5,12,8,1,0.10550000000000001,0,76409.0,269.0
2012-12-09,28,256,17.63,No,71624,Baltimore,6,12,9,1,0.17629999999999998,0,80560.0,189.0
2012-12-10,17,112,12.72,No,56252,Baltimore,0,12,10,0,0.1272,0,64383.0,93.0
2012-12-11,14,126,13.02,No,69250,Baltimore,1,12,11,0,0.13019999999999998,0,54377.0,99.0
2012-12-12,17,144,13.36,No,64184,Baltimore,2,12,12,0,0.1336,0,69302.0,120.0
2012-12-13,23,139,11.2,No,73069,Baltimore,3,12,13,0,0.11199999999999999,0,62347.0,126.0
2012-12-14,29,177,19.22,No,72654,Baltimore,4,12,14,0,0.19219999999999998,0,81766.0,161.0
2012-12-15,29,356,18.86,No,81759,Baltimore,5,12,15,1,0.1886,0,73663.0,243.0
2012-12-16,21,288,18.74,No,81381,Baltimore,6,12,16,1,0.18739999999999998,0,71624.0,256.0
2012-12-17,14,207,18.15,No,77255,Baltimore,0,12,17,0,0.1815,0,56252.0,112.0
2012-12-18,18,201,14.8,No,64461,Baltimore,1,12,18,0,0.14800000000000002,0,69250.0,126.0
2012-12-19,18,261,19.56,No,74585,Baltimore,2,12,19,0,0.1956,0,64184.0,144.0
2012-12-20,30,261,17.01,No,76553,Baltimore,3,12,20,0,0.17010000000000003,0,73069.0,139.0
2012-12-21,36,314,18.78,No,68743,Baltimore,4,12,21,0,0.18780000000000002,0,72654.0,177.0
2012-12-22,42,466,20.65,No,88382,Baltimore,5,12,22,1,0.2065,0,81759.0,356.0
2012-12-23,40,466,17.99,No,79196,Baltimore,6,12,23,1,0.17989999999999998,0,81381.0,288.0
2012-12-24,18,217,22.1,No,71162,Baltimore,0,12,24,0,0.221,0,77255.0,207.0
2012-12-25,0,0,0.0,No,0,Baltimore,1,12,25,0,0.0,0,64461.0,201.0
2012-12-26,23,452,19.36,No,74881,Baltimore,2,12,26,0,0.1936,0,74585.0,261.0
2012-12-27,28,260,20.14,No,63853,Baltimore,3,12,27,0,0.2014,0,76553.0,261.0
2012-12-28,29,265,12.56,No,74461,Baltimore,4,12,28,0,0.12560000000000002,0,68743.0,314.0
2012-12-29,24,302,13.06,No,76098,Baltimore,5,12,29,1,0.1306,0,88382.0,466.0
2012-12-30,26,288,17.81,No,48917,Baltimore,6,12,30,1,0.17809999999999998,0,79196.0,466.0
2012-12-31,18,243,13.9,No,62693,Baltimore,0,12,31,0,0.139,0,71162.0,217.0
2013-01-01,18,140,18.43,No,48973,Baltimore,1,1,1,0,0.1843,0,0.0,0.0
2013-01-02,15,186,13.89,No,47743,Baltimore,2,1,2,0,0.1389,0,74881.0,452.0
2013-01-03,21,135,20.73,No,58291,Baltimore,3,1,3,0,0.2073,0,63853.0,260.0
2013-01-04,27,137,17.56,No,60871,Baltimore,4,1,4,0,0.17559999999999998,0,74461.0,265.0
2013-01-05,26,197,17.65,No,51324,Baltimore,5,1,5,1,0.1765,0,76098.0,302.0
2013-01-06,27,129,15.72,No,46833,Baltimore,6,1,6,1,0.1572,0,48917.0,288.0
2013-01-07,9,99,18.16,No,50882,Baltimore,0,1,7,0,0.1816,0,62693.0,243.0
2013-01-08,12,75,13.17,No,41597,Baltimore,1,1,8,0,0.1317,0,48973.0,140.0
2013-01-09,11,97,15.43,No,49296,Baltimore,2,1,9,0,0.1543,0,47743.0,186.0
2013-01-10,18,89,17.43,No,40061,Baltimore,3,1,10,0,0.1743,0,58291.0,135.0
2013-01-11,24,113,16.4,No,48834,Baltimore,4,1,11,0,0.16399999999999998,0,60871.0,137.0
2013-01-12,16,169,17.98,No,58881,Baltimore,5,1,12,1,0.17980000000000002,0,51324.0,197.0
2013-01-13,16,139,16.05,No,61532,Baltimore,6,1,13,1,0.1605,0,46833.0,129.0
2013-01-14,15,77,19.14,No,48030,Baltimore,0,1,14,0,0.19140000000000001,0,50882.0,99.0
2013-01-15,10,85,16.14,No,51677,Baltimore,1,1,15,0,0.16140000000000002,0,41597.0,75.0
2013-01-16,12,83,13.03,No,52836,Baltimore,2,1,16,0,0.1303,0,49296.0,97.0
2013-01-17,16,80,15.09,No,48870,Baltimore,3,1,17,0,0.1509,0,40061.0,89.0
2013-01-18,27,112,11.82,No,42455,Baltimore,4,1,18,0,0.1182,0,48834.0,113.0
2013-01-19,45,622,14.67,Yes,85376,Baltimore,5,1,19,1,0.1467,1,58881.0,169.0
2013-01-20,39,488,17.5,Yes,61592,Baltimore,6,1,20,1,0.175,1,61532.0,139.0
2013-01-21,30,357,12.78,Yes,51725,Baltimore,0,1,21,0,0.1278,1,48030.0,77.0
2013-01-22,11,61,16.89,No,29401,Baltimore,1,1,22,0,0.1689,0,51677.0,85.0
2013-01-23,11,75,15.33,No,36534,Baltimore,2,1,23,0,0.1533,0,52836.0,83.0
2013-01-24,22,64,9.62,No,34180,Baltimore,3,1,24,0,0.0962,0,48870.0,80.0
2013-01-25,20,66,10.7,No,36310,Baltimore,4,1,25,0,0.107,0,42455.0,112.0
2013-01-26,15,135,8.7,No,35596,Baltimore,5,1,26,1,0.087,0,85376.0,622.0
2013-01-27,23,112,14.3,No,38898,Baltimore,6,1,27,1,0.14300000000000002,0,61592.0,488.0
2013-01-28,12,48,14.78,No,30026,Baltimore,0,1,28,0,0.1478,0,51725.0,357.0
2013-01-29,17,53,7.75,No,29317,Baltimore,1,1,29,0,0.0775,0,29401.0,61.0
2013-01-30,11,64,9.03,No,30136,Baltimore,2,1,30,0,0.09029999999999999,0,36534.0,75.0
2013-01-31,22,88,7.56,No,30715,Baltimore,3,1,31,0,0.0756,0,34180.0,64.0
2013-02-01,19,106,11.29,No,38401,Baltimore,4,2,1,0,0.11289999999999999,0,36310.0,66.0
2013-02-02,22,172,8.03,No,33975,Baltimore,5,2,2,1,0.0803,0,35596.0,135.0
2013-02-03,10,96,7.05,No,33435,Baltimore,6,2,3,1,0.0705,0,38898.0,112.0
2013-02-04,11,72,9.73,No,26380,Baltimore,0,2,4,0,0.0973,0,30026.0,48.0
2013-02-05,11,72,7.03,No,34067,Baltimore,1,2,5,0,0.0703,0,29317.0,53.0
2013-02-06,11,68,6.43,No,33653,Baltimore,2,2,6,0,0.0643,0,30136.0,64.0
2013-02-07,19,68,11.95,No,27681,Baltimore,3,2,7,0,0.1195,0,30715.0,88.0
2013-02-08,27,116,16.58,No,42371,Baltimore,4,2,8,0,0.16579999999999998,0,38401.0,106.0
2013-02-09,19,198,15.86,No,40885,Baltimore,5,2,9,1,0.1586,0,33975.0,172.0
2013-02-10,15,142,16.53,No,28068,Baltimore,6,2,10,1,0.1653,0,33435.0,96.0
2013-02-11,16,84,14.57,No,31563,Baltimore,0,2,11,0,0.1457,0,26380.0,72.0
2013-02-12,14,90,11.47,No,30593,Baltimore,1,2,12,0,0.11470000000000001,0,34067.0,72.0
2013-02-13,10,84,15.31,No,29867,Baltimore,2,2,13,0,0.1531,0,33653.0,68.0
2013-02-14,18,113,10.16,No,39821,Baltimore,3,2,14,0,0.1016,0,27681.0,68.0
2013-02-15,26,119,10.18,No,34430,Baltimore,4,2,15,0,0.1018,0,42371.0,116.0
2013-02-16,58,718,11.4,Yes,113669,Baltimore,5,2,16,1,0.114,1,40885.0,198.0
2013-02-17,28,544,11.5,Yes,70343,Baltimore,6,2,17,1,0.115,1,28068.0,142.0
2013-02-18,30,457,13.75,Yes,65109,Baltimore,0,2,18,0,0.1375,1,31563.0,84.0
2013-02-19,18,58,11.36,No,29660,Baltimore,1,2,19,0,0.11359999999999999,0,30593.0,90.0
2013-02-20,13,71,12.61,No,27147,Baltimore,2,2,20,0,0.1261,0,29867.0,84.0
2013-02-21,18,60,9.41,No,27070,Baltimore,3,2,21,0,0.0941,0,39821.0,113.0
2013-02-22,21,84,9.88,No,33510,Baltimore,4,2,22,0,0.09880000000000001,0,34430.0,119.0
2013-02-23,27,144,10.33,No,32936,Baltimore,5,2,23,1,0.1033,0,113669.0,718.0
2013-02-24,17,102,7.54,No,35108,Baltimore,6,2,24,1,0.0754,0,70343.0,544.0
2013-02-25,13,63,7.44,No,24331,Baltimore,0,2,25,0,0.07440000000000001,0,65109.0,457.0
2013-02-26,10,57,7.8,No,28161,Baltimore,1,2,26,0,0.078,0,29660.0,58.0
2013-02-27,13,63,8.17,No,28990,Baltimore,2,2,27,0,0.0817,0,27147.0,71.0
2013-02-28,22,71,10.83,No,32831,Baltimore,3,2,28,0,0.10830000000000001,0,27070.0,60.0
2013-03-01,15,99,8.2,No,39263,Baltimore,4,3,1,0,0.08199999999999999,0,33510.0,84.0
2013-03-02,20,152,7.18,No,34879,Baltimore,5,3,2,1,0.0718,0,32936.0,144.0
2013-03-03,21,99,8.76,No,31991,Baltimore,6,3,3,1,0.0876,0,35108.0,102.0
2013-03-04,16,68,6.31,No,32005,Baltimore,0,3,4,0,0.06309999999999999,0,24331.0,63.0
2013-03-05,8,55,8.88,No,37806,Baltimore,1,3,5,0,0.0888,0,28161.0,57.0
2013-03-06,11,63,9.71,No,40000,Baltimore,2,3,6,0,0.0971,0,28990.0,63.0
2013-03-07,19,67,8.91,No,35925,Baltimore,3,3,7,0,0.0891,0,32831.0,71.0
2013-03-08,19,83,12.21,No,31243,Baltimore,4,3,8,0,0.12210000000000001,0,39263.0,99.0
2013-03-09,17,174,8.41,No,40058,Baltimore,5,3,9,1,0.08410000000000001,0,34879.0,152.0
2013-03-10,38,122,10.07,No,39202,Baltimore,6,3,10,1,0.1007,0,31991.0,99.0
2013-03-11,12,67,10.54,No,38644,Baltimore,0,3,11,0,0.1054,0,32005.0,68.0
2013-03-12,11,62,9.88,No,35610,Baltimore,1,3,12,0,0.09880000000000001,0,37806.0,55.0
2013-03-13,14,70,8.91,No,33752,Baltimore,2,3,13,0,0.0891,0,40000.0,63.0
2013-03-14,23,80,10.6,No,31068,Baltimore,3,3,14,0,0.106,0,35925.0,67.0
2013-03-15,25,109,9.28,No,39265,Baltimore,4,3,15,0,0.0928,0,31243.0,83.0
2013-03-16,23,194,13.56,No,43220,Baltimore,5,3,16,1,0.1356,0,40058.0,174.0
2013-03-17,26,137,16.4,No,41794,Baltimore,6,3,17,1,0.16399999999999998,0,39202.0,122.0
2013-03-18,10,86,6.5,No,35165,Baltimore,0,3,18,0,0.065,0,38644.0,67.0
2013-03-19,10,67,8.12,No,33749,Baltimore,1,3,19,0,0.0812,0,35610.0,62.0
2013-03-20,13,82,6.42,No,36494,Baltimore,2,3,20,0,0.0642,0,33752.0,70.0
2013-03-21,20,90,7.06,No,33312,Baltimore,3,3,21,0,0.0706,0,31068.0,80.0
2013-03-22,28,121,9.35,No,37911,Baltimore,4,3,22,0,0.0935,0,39265.0,109.0
2013-03-23,24,165,6.74,No,43411,Baltimore,5,3,23,1,0.0674,0,43220.0,194.0
2013-03-24,16,126,6.58,No,34053,Baltimore,6,3,24,1,0.0658,0,41794.0,137.0
2013-03-25,13,101,8.32,No,34946,Baltimore,0,3,25,0,0.0832,0,35165.0,86.0
2013-03-26,12,93,9.31,No,32855,Baltimore,1,3,26,0,0.0931,0,33749.0,67.0
2013-03-27,13,98,8.11,No,35643,Baltimore,2,3,27,0,0.08109999999999999,0,36494.0,82.0
